id;name;year;region;type;price;description;alcohol_per;recommandation;age_limit;temperature;percent_promo;stock;image;image_content_type
1;Steel;31485;calculating cross-platform c;wireless Computer;89830;b Pound withdrawal;88209;Unbranded Soap;63081;44325;1;40879;../fake-data/blob/hipster.png;image/png
2;Franche-Comté throughput Sommerard;82822;Niger;green Malagasy;32770;de Australian;16473;Wooden;70336;95238;0;20520;../fake-data/blob/hipster.png;image/png
3;a;94963;b a Sports;Limousin yellow Canada;27546;homogeneous la;86573;Manager;16073;14900;0;88935;../fake-data/blob/hipster.png;image/png
4;Ball pixel;28408;optical Cheese;multi-byte Solférino project;82676;Fantastic;4074;mobile applications;95618;19864;1;80676;../fake-data/blob/hipster.png;image/png
5;navigate brand up;56289;Checking system-worthy;Steel;12655;convergence;78668;Automotive;53352;93272;1;99958;../fake-data/blob/hipster.png;image/png
6;Games;67286;c multi-byte;Kids IB;52857;Industrial Concrete;67786;transitional;80631;85001;0;41751;../fake-data/blob/hipster.png;image/png
7;a Turkménistan online;59509;Frozen Sausages;invoice;32685;a Colombian B2C;99734;Sleek non-volatile Technicien;76795;42914;1;59291;../fake-data/blob/hipster.png;image/png
8;Pula;82701;Soft;deposit clear-thinking focus;25664;Jamaïque Small;53349;de;29881;81697;1;17974;../fake-data/blob/hipster.png;image/png
9;portals Berkshire intuitive;67526;turquoise;pixel Dollar;26850;Small adapter;18371;ability;75149;11276;1;79312;../fake-data/blob/hipster.png;image/png
10;Directeur;55191;USB a;Ouzbékistan JBOD;3769;orange;63521;redefine;33555;55793;1;44344;../fake-data/blob/hipster.png;image/png
